path	bytes	lines	class	audit_status	flags
demo/model-inference/contracts/v1/api-ws-contract.catalog.json	21761	614	contract	manual_audit_required	capabilities,keyframe_delta
demo/model-inference/contracts/v1/auth-request.contract.json	3377	65	contract	manual_audit_required	
demo/model-inference/contracts/v1/chunk-envelope.contract.json	1960	57	contract	manual_audit_required	
demo/model-inference/contracts/v1/conversation-message.contract.json	2963	44	contract	manual_audit_required	keyframe_delta
demo/model-inference/contracts/v1/embedding-request.contract.json	3265	66	contract	manual_audit_required	
demo/model-inference/contracts/v1/inference-request.contract.json	5837	86	contract	manual_audit_required	
demo/model-inference/contracts/v1/model-registry-entry.contract.json	4371	69	contract	manual_audit_required	
demo/model-inference/contracts/v1/node-profile.contract.json	2811	50	contract	manual_audit_required	capabilities
demo/model-inference/contracts/v1/retrieval-request.contract.json	2552	70	contract	manual_audit_required	
demo/model-inference/contracts/v1/service-descriptor.contract.json	2591	59	contract	manual_audit_required	capabilities
demo/model-inference/contracts/v1/service-graph.contract.json	3144	41	contract	manual_audit_required	
demo/model-inference/contracts/v1/token-frame.contract.json	6137	101	contract	manual_audit_required	repair,keyframe_delta
demo/model-inference/contracts/v1/tool-descriptor.contract.json	2689	67	contract	manual_audit_required	capabilities
demo/model-inference/contracts/v1/user-session.contract.json	1763	26	contract	manual_audit_required	
demo/model-inference/docker-compose.v1.yml	2328	66	config	low_signal_inventory_only	
demo/model-inference/scripts/auth-smoke.sh	6510	150	script	manual_audit_required	regression
demo/model-inference/scripts/discovery-smoke.sh	12151	308	script	manual_audit_required	regression
demo/model-inference/scripts/failover-smoke.sh	9733	243	script	low_signal_inventory_only	
demo/model-inference/scripts/rag-smoke.sh	13927	359	script	manual_audit_required	regression,capabilities,orchestrator
demo/model-inference/scripts/smoke.sh	12233	302	script	low_signal_inventory_only	
demo/userland/flow-php/src/CheckpointStore.php	13798	469	source	low_signal_inventory_only	
demo/userland/flow-php/src/ControlPlane.php	32643	978	source	manual_audit_required	capabilities,repair
demo/userland/flow-php/src/ExecutionBackend.php	15315	525	source	manual_audit_required	capabilities,orchestrator
demo/userland/flow-php/src/FailureTaxonomy.php	20720	671	source	manual_audit_required	security,reconnect,backpressure,orchestrator,repair
demo/userland/flow-php/src/McpHost.php	17521	628	source	low_signal_inventory_only	
demo/userland/flow-php/src/McpServiceDiscovery.php	11873	376	source	manual_audit_required	fallback
demo/userland/flow-php/src/ObjectStoreDataset.php	15809	554	source	low_signal_inventory_only	
demo/userland/flow-php/src/ObjectStoreIngest.php	10392	341	source	manual_audit_required	fallback
demo/userland/flow-php/src/Partitioning.php	25204	877	source	manual_audit_required	backpressure,capabilities
demo/userland/flow-php/src/RagOrchestrationReference.php	10906	362	source	manual_audit_required	capabilities
demo/userland/flow-php/src/SerializationBridge.php	26670	957	source	manual_audit_required	
demo/userland/flow-php/src/SqlVectorBridge.php	10057	354	source	low_signal_inventory_only	
