path	bytes	lines	class	flags	audit_status
demo/video-chat/frontend-vue/tests/contract/sfu-strict-720p30-runtime-contract.mjs	17691	227	test	sfu,gossip,background,security,reconnect,backpressure,quality,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-protected-browser-encoder-contract.mjs	26916	227	test	sfu,background,security,reconnect,backpressure,capabilities,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/nativeStack.ts	13058	220	source	security,capabilities,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/iam-s5-17-seed-cache-run-docs-contract.mjs	11634	219	test	sfu,gossip,background,security,reconnect	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/native/audioBridgeRecovery.ts	8970	213	source	security,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-adaptive-quality-layers-contract.mjs	13021	212	test	sfu,reconnect,backpressure,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/carrierState.ts	6107	212	source	sfu,reconnect,backpressure	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-video-frame-primary-path-contract.mjs	10601	209	test	sfu,gossip,backpressure,capabilities,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-selective-tile-value-contract.mjs	7797	208	test	sfu,background,reconnect,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_recovery_requests.php	7606	206	source	sfu,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/sfu/remoteRenderScheduler.ts	8186	206	source	sfu,backpressure,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/helpers/local-5-peer-gossip-network-harness.mjs	6509	205	test	sfu,gossip,reconnect,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/wlvc-runtime-regression-contract.mjs	13425	204	test	sfu,security,backpressure,quality,regression,capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/publisherFrameTrace.ts	9077	196	source	security,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_sfu_operations_mirror.php	6329	195	source		low_signal_inventory_only
demo/video-chat/frontend-vue/src/domain/realtime/workspace/callWorkspace/backgroundTabPolicy.ts	7757	192	source	sfu,background,reconnect,quality,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-capture-constraints-contract.mjs	14220	192	test	sfu,quality,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-background-tab-policy-contract.mjs	12151	191	test	sfu,background,reconnect,fallback,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/tests/auth-sqlite-lock-contract.php	9651	191	test	reconnect,backpressure,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/local/sfuCaptureProfileConstraints.ts	7717	190	source	sfu,quality,capabilities,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/http/module_realtime_gossipmesh_recovery.php	9082	189	source	gossip,backpressure,repair,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-no-frame-persistence-regression-contract.mjs	12636	188	test	sfu,regression,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-offscreen-canvas-fallback-contract.mjs	8866	186	test	sfu,capabilities,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-capture-pipeline-capabilities-contract.mjs	6741	184	test	sfu,capabilities,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-tile-cache-generation-contract.mjs	5651	183	test	sfu,background,reconnect,keyframe_delta	manual_audit_required
